,Longitude,Latitude,Crime_type,Year
0,-87.672371983,41.813075494,HOMICIDE,2016
1,-87.808767445,41.948867911,HOMICIDE,2016
2,-87.757605978,41.79934361,HOMICIDE,2016
3,-87.610465855,41.654657746,HOMICIDE,2016
4,-87.766085638,41.969927135,HOMICIDE,2016
5,-87.591099067,41.798056386,HOMICIDE,2016
6,-87.535282917,41.716873697,HOMICIDE,2016
7,-87.680325016,42.005538314,HOMICIDE,2016
8,-87.653094586,41.965454888,HOMICIDE,2016
9,-87.560771495,41.700104464,HOMICIDE,2016
10,-87.624344893,41.881423,HOMICIDE,2016
11,-87.562805495,41.684623652,HOMICIDE,2016
12,-87.786080959,41.960230099,HOMICIDE,2016
13,-87.787856579,41.777575289,HOMICIDE,2016
14,-87.806976957,41.980615746,HOMICIDE,2016
15,-87.68389328,41.962535036,HOMICIDE,2016
16,-87.649764034,41.935446368,HOMICIDE,2016
17,-87.716065239,41.886697431,ARSON,2016
18,-87.65269504,41.756952385,ARSON,2016
19,-87.715941165,41.691330662,ARSON,2016
20,-87.549577659,41.671720914,ARSON,2016
21,-87.665863292,41.974401843,ARSON,2016
22,-87.594866308,41.792553685,ARSON,2016
23,-87.530453225,41.699976227,ARSON,2016
24,-87.811050925,41.945184599,ARSON,2016
25,-87.778263527,41.961166766,ARSON,2016
26,-87.560750269,41.698512614,ARSON,2016
27,-87.722036048,41.963751592,ARSON,2016
28,-87.614590067,41.65364899,ARSON,2016
29,-87.674502101,41.828576413,ARSON,2016
30,-87.682998476,41.962304946,ARSON,2016
31,-87.791336271,41.785797212,ARSON,2016
32,-87.645042138,41.837177076,ARSON,2016
33,-87.679047954,42.01849731,ARSON,2016
34,-87.760380322,41.957827019,ARSON,2016
35,-87.804395081,41.924147072,ARSON,2016
36,-87.758779901,41.797664493,ARSON,2016
37,-87.651924995,41.939943264,ARSON,2016
38,-87.62416567,41.891984471,ARSON,2016
39,-87.632328651,41.815151526,ARSON,2016
40,-87.634670006,41.90982326,ARSON,2016
41,-87.668716976,41.998100803,ARSON,2016
42,-87.535288699,41.720551116,ARSON,2016
43,-87.688311464,41.844785593,NARCOTICS,2016
44,-87.907472601,41.953900467,NARCOTICS,2016
45,-87.905227221,41.976290414,NARCOTICS,2016
46,-87.840745861,41.986989467,NARCOTICS,2016
47,-87.836684841,41.965720818,NARCOTICS,2016
48,-87.807787301,42.017578297,NARCOTICS,2016
49,-87.559391674,41.685997576,NARCOTICS,2016
50,-87.666264958,41.862132355,THEFT,2016
51,-87.547137967,41.656541779,THEFT,2016
52,-87.917644638,41.962447574,THEFT,2016
53,-87.887169976,41.959440784,THEFT,2016
54,-87.914869723,41.994300526,THEFT,2016
55,-87.67045409,41.83293572,BATTERY,2016
56,-87.900983721,41.976762981,BATTERY,2016
57,-87.890666529,41.957308339,BATTERY,2016
58,-87.665729137,41.837054941,ROBBERY,2016
59,-87.54591594,41.653220991,ROBBERY,2016
60,-87.815110832,42.017537501,ROBBERY,2016
61,-87.925508862,41.989621528,ROBBERY,2016
62,-87.900983721,41.976762981,ROBBERY,2016
63,-87.836610715,41.977155624,ROBBERY,2016
64,-87.669167097,41.830002895,ASSAULT,2016
65,-87.54590552,41.656780333,ASSAULT,2016
66,-87.900520088,41.976799653,ASSAULT,2016
67,-87.915685098,41.953969054,ASSAULT,2016
68,-87.721095377,41.711891336,ASSAULT,2016
69,-87.680925625,41.847477162,MOTOR VEHICLE THEFT,2016
70,-87.549562423,41.654870566,MOTOR VEHICLE THEFT,2016
71,-87.905227221,41.976290414,MOTOR VEHICLE THEFT,2016
72,-87.884969461,41.982255833,MOTOR VEHICLE THEFT,2016
73,-87.914585337,41.960789926,MOTOR VEHICLE THEFT,2016
74,-87.573876784,41.673676103,MOTOR VEHICLE THEFT,2016
75,-87.893398808,41.950804059,MOTOR VEHICLE THEFT,2016
