,Longitude,Latitude,Crime_type,Year
0,-87.680176022,41.846841721,HOMICIDE,2015
1,-87.884022635,41.981958501,HOMICIDE,2015
2,-87.547147827,41.654527499,HOMICIDE,2015
3,-87.866450772,41.973208449,HOMICIDE,2015
4,-87.787227104,42.0119912,HOMICIDE,2015
5,-87.681475078,41.833481786,ARSON,2015
6,-87.669964736,42.005832909,ARSON,2015
7,-87.64304338,41.899176885,ARSON,2015
8,-87.622462406,41.690779478,ARSON,2015
9,-87.559616417,41.703598448,ARSON,2015
10,-87.591240745,41.656519391,ARSON,2015
11,-87.72493883,41.743572979,ARSON,2015
12,-87.756339623,41.797827897,ARSON,2015
13,-87.576337965,41.684172952,ARSON,2015
14,-87.690719598,41.977688525,ARSON,2015
15,-87.691335881,41.747380366,ARSON,2015
16,-87.817686853,41.979712112,ARSON,2015
17,-87.773633372,41.978098009,ARSON,2015
18,-87.613435654,41.651835984,ARSON,2015
19,-87.773144046,41.779669745,ARSON,2015
20,-87.584732228,41.804379051,ARSON,2015
21,-87.697468888,41.696619815,ARSON,2015
22,-87.541344595,41.700479919,ARSON,2015
23,-87.660267992,41.680688405,ARSON,2015
24,-87.655283903,41.986460964,ARSON,2015
25,-87.662016704,41.723043634,ARSON,2015
26,-87.813399092,41.951603012,ARSON,2015
27,-87.717659422,41.756448927,ARSON,2015
28,-87.669340289,41.700527834,ARSON,2015
29,-87.685314897,41.842416891,NARCOTICS,2015
30,-87.700912517,41.694204592,NARCOTICS,2015
31,-87.904976266,41.9764212,NARCOTICS,2015
32,-87.545908316,41.655048672,NARCOTICS,2015
33,-87.806571373,42.017317514,NARCOTICS,2015
34,-87.907472601,41.953900467,NARCOTICS,2015
35,-87.66657969,41.858692887,THEFT,2015
36,-87.907472601,41.953900467,THEFT,2015
37,-87.668011188,41.8328475,BATTERY,2015
38,-87.900983721,41.976762981,BATTERY,2015
39,-87.907472601,41.953900467,BATTERY,2015
40,-87.889893442,41.998273669,BATTERY,2015
41,-87.924969698,41.988801838,BATTERY,2015
42,-87.669047432,41.834124094,ROBBERY,2015
43,-87.54591594,41.653220991,ROBBERY,2015
44,-87.839756963,41.978346459,ROBBERY,2015
45,-87.787227104,42.0119912,ROBBERY,2015
46,-87.835442189,41.951055828,ROBBERY,2015
47,-87.898153343,41.980336225,ROBBERY,2015
48,-87.669119919,41.828177683,ASSAULT,2015
49,-87.915105451,41.953783081,ASSAULT,2015
50,-87.898493658,41.977346326,ASSAULT,2015
51,-87.885047926,41.95900442,ASSAULT,2015
52,-87.889893442,41.998273669,ASSAULT,2015
53,-87.576337965,41.684172952,ASSAULT,2015
54,-87.864076049,41.973585701,ASSAULT,2015
55,-87.680176022,41.846841721,MOTOR VEHICLE THEFT,2015
56,-87.884022635,41.981958501,MOTOR VEHICLE THEFT,2015
57,-87.547147827,41.654527499,MOTOR VEHICLE THEFT,2015
58,-87.866450772,41.973208449,MOTOR VEHICLE THEFT,2015
59,-87.787227104,42.0119912,MOTOR VEHICLE THEFT,2015
