,Longitude,Latitude,Crime_type,Year
0,-87.655833034,41.864102036,HOMICIDE,2019
1,-87.743142974,41.80716827,HOMICIDE,2019
2,-87.536488614,41.711483998,HOMICIDE,2019
3,-87.626357727,41.757638586,HOMICIDE,2019
4,-87.72932358,41.878823333,HOMICIDE,2019
5,-87.69136176,41.9203106,HOMICIDE,2019
6,-87.669084869,42.018966968,HOMICIDE,2019
7,-87.644257764,41.935855273,HOMICIDE,2019
8,-87.633564277,41.911161199,HOMICIDE,2019
9,-87.708547831,41.971041686,HOMICIDE,2019
10,-87.736939439,41.746739713,HOMICIDE,2019
11,-87.614595998,41.887586335,HOMICIDE,2019
12,-87.603092879,41.657212781,HOMICIDE,2019
13,-87.712326147,41.823383662,HOMICIDE,2019
14,-87.631214259,41.895287937,HOMICIDE,2019
15,-87.728271764,41.959119468,HOMICIDE,2019
16,-87.737649422,41.946243255,HOMICIDE,2019
17,-87.707036051,41.999979246,HOMICIDE,2019
18,-87.668604253,41.735716764,HOMICIDE,2019
19,-87.773112387,41.77783091,HOMICIDE,2019
20,-87.66155984,41.904788891,HOMICIDE,2019
21,-87.572315031,41.751198244,ARSON,2019
22,-87.718157496,41.96522098,ARSON,2019
23,-87.658315752,41.7686351,ARSON,2019
24,-87.734733346,41.89603887,ARSON,2019
25,-87.531663492,41.693044285,ARSON,2019
26,-87.698808911,41.798229812,ARSON,2019
27,-87.740639812,41.974208525,ARSON,2019
28,-87.6345943,41.89318177,ARSON,2019
29,-87.681384786,41.939535294,ARSON,2019
30,-87.792272134,41.944192047,ARSON,2019
31,-87.68210301,41.722184992,ARSON,2019
32,-87.628976735,41.690698838,ARSON,2019
33,-87.724117216,41.783569599,ARSON,2019
34,-87.745581851,41.806799319,ARSON,2019
35,-87.624403508,41.746380391,ARSON,2019
36,-87.613011501,41.726309007,ARSON,2019
37,-87.645494141,41.858359977,ARSON,2019
38,-87.6552782,41.923527982,ARSON,2019
39,-87.602332155,41.65685118,ARSON,2019
40,-87.66511721,41.905709756,ARSON,2019
41,-87.766490493,41.774988265,ARSON,2019
42,-87.782011801,41.79906541,ARSON,2019
43,-87.822737226,41.976858757,ARSON,2019
44,-87.615920606,41.792412671,ARSON,2019
45,-87.673067895,41.74777356,ARSON,2019
46,-87.772402889,41.865485209,ARSON,2019
47,-87.611461502,41.891990384,ARSON,2019
48,-87.654791654,41.965961632,ARSON,2019
49,-87.684588844,42.008844538,ARSON,2019
50,-87.643112723,41.94115571,ARSON,2019
51,-87.53649704,41.72088333,ARSON,2019
52,-87.624350645,41.80510791,ARSON,2019
53,-87.655501989,41.684151193,ARSON,2019
54,-87.846467101,41.977609479,ARSON,2019
55,-87.665621077,41.832976333,ARSON,2019
56,-87.759998692,41.79752788,ARSON,2019
57,-87.718779656,41.987328865,ARSON,2019
58,-87.636832454,41.669782721,ARSON,2019
59,-87.68927784,41.921094756,ARSON,2019
60,-87.663410803,41.711201787,ARSON,2019
61,-87.623318288,41.834155131,ARSON,2019
62,-87.748021618,41.77609766,ARSON,2019
63,-87.633564301,41.87178962,ARSON,2019
64,-87.692808972,41.845354126,NARCOTICS,2019
65,-87.806976353,41.980242532,NARCOTICS,2019
66,-87.539882806,41.652855669,NARCOTICS,2019
67,-87.900983721,41.976762981,NARCOTICS,2019
68,-87.907472601,41.953900467,NARCOTICS,2019
69,-87.788735613,41.997341632,NARCOTICS,2019
70,-87.748322381,41.989044668,NARCOTICS,2019
71,-87.661461162,41.863029166,THEFT,2019
72,-87.901514402,41.976600326,THEFT,2019
73,-87.914869723,41.994300526,THEFT,2019
74,-87.917644638,41.962447574,THEFT,2019
75,-87.559086495,41.683053599,THEFT,2019
76,-87.6691979,41.83412222,BATTERY,2019
77,-87.900983721,41.976762981,BATTERY,2019
78,-87.544722501,41.654766107,BATTERY,2019
79,-87.881937669,41.994913946,BATTERY,2019
80,-87.887169976,41.959440784,BATTERY,2019
81,-91.686565684,36.619446395,BATTERY,2019
82,-87.907472601,41.953900467,BATTERY,2019
83,-87.899008826,42.005440693,BATTERY,2019
84,-87.665743111,41.837828905,ROBBERY,2019
85,-87.547152245,41.652960509,ROBBERY,2019
86,-87.836618285,41.976181463,ROBBERY,2019
87,-87.816865506,41.980314889,ROBBERY,2019
88,-87.786738394,42.011481199,ROBBERY,2019
89,-87.807138486,41.997177742,ROBBERY,2019
90,-87.540099953,41.680481664,ROBBERY,2019
91,-87.904122758,41.978108446,ROBBERY,2019
92,-87.702546548,41.705717816,ROBBERY,2019
93,-87.665859662,41.830496901,ASSAULT,2019
94,-87.900983721,41.976762981,ASSAULT,2019
95,-87.881937669,41.994913946,ASSAULT,2019
96,-87.914045622,41.995433619,ASSAULT,2019
97,-87.927364891,42.006074109,ASSAULT,2019
98,-87.915105451,41.953783081,ASSAULT,2019
99,-87.67563646,41.84428835,MOTOR VEHICLE THEFT,2019
100,-87.548392157,41.651498014,MOTOR VEHICLE THEFT,2019
101,-87.881455466,41.987154185,MOTOR VEHICLE THEFT,2019
102,-87.905227221,41.976290414,MOTOR VEHICLE THEFT,2019
103,-87.576314918,41.673645535,MOTOR VEHICLE THEFT,2019
