Year,Race,Household_Income_by_Race1,Household_Income_by_Race2,Household_Income_by_RaceMoe,Geography,Census_Tract_No,County,State,ID_Geography,Geoid10
2017,Total,57245," $57,245 "," $8,929 ","Census Tract 6503.01, Cook County, IL",6503.01,Cook County,IL,14000US17031650301,17031650301
2017,Total,151250," $151,250 "," $47,800 ","Census Tract 706, Cook County, IL",706,Cook County,IL,14000US17031070600,17031070600
2017,Total,122571," $122,571 "," $19,315 ","Census Tract 707, Cook County, IL",707,Cook County,IL,14000US17031070700,17031070700
2017,Total,26905," $26,905 "," $4,015 ","Census Tract 8411, Cook County, IL",8411,Cook County,IL,14000US17031841100,17031841100
2017,Total,39188," $39,188 "," $9,089 ","Census Tract 7115, Cook County, IL",7115,Cook County,IL,14000US17031711500,17031711500
2017,Total,121840," $121,840 "," $8,245 ","Census Tract 710, Cook County, IL",710,Cook County,IL,14000US17031071000,17031071000
2017,Total,48851," $48,851 "," $7,082 ","Census Tract 6502, Cook County, IL",6502,Cook County,IL,14000US17031650200,17031650200
2017,Total,116483," $116,483 "," $22,199 ","Census Tract 711, Cook County, IL",711,Cook County,IL,14000US17031071100,17031071100
2017,Total,41250," $41,250 "," $7,210 ","Census Tract 6501, Cook County, IL",6501,Cook County,IL,14000US17031650100,17031650100
2017,Total,104115," $104,115 "," $12,270 ","Census Tract 712, Cook County, IL",712,Cook County,IL,14000US17031071200,17031071200
2017,Total,103571," $103,571 "," $22,954 ","Census Tract 713, Cook County, IL",713,Cook County,IL,14000US17031071300,17031071300
2017,Total,63125," $63,125 "," $24,968 ","Census Tract 8410, Cook County, IL",8410,Cook County,IL,14000US17031841000,17031841000
2017,Total,54722," $54,722 "," $9,628 ","Census Tract 6408, Cook County, IL",6408,Cook County,IL,14000US17031640800,17031640800
2017,Total,71701," $71,701 "," $12,883 ","Census Tract 714, Cook County, IL",714,Cook County,IL,14000US17031071400,17031071400
2017,Total,89167," $89,167 "," $10,874 ","Census Tract 715, Cook County, IL",715,Cook County,IL,14000US17031071500,17031071500
2017,Total,49938," $49,938 "," $6,676 ","Census Tract 6407, Cook County, IL",6407,Cook County,IL,14000US17031640700,17031640700
2017,Total,120240," $120,240 "," $17,076 ","Census Tract 716, Cook County, IL",716,Cook County,IL,14000US17031071600,17031071600
2017,Total,137500," $137,500 "," $32,560 ","Census Tract 717, Cook County, IL",717,Cook County,IL,14000US17031071700,17031071700
2017,Total,31648," $31,648 "," $1,427 ","Census Tract 8408, Cook County, IL",8408,Cook County,IL,14000US17031840800,17031840800
2017,Total,133636," $133,636 "," $41,166 ","Census Tract 7201, Cook County, IL",7201,Cook County,IL,14000US17031720100,17031720100
2017,Total,149028," $149,028 "," $30,363 ","Census Tract 718, Cook County, IL",718,Cook County,IL,14000US17031071800,17031071800
2017,Total,42274," $42,274 "," $6,878 ","Census Tract 6406, Cook County, IL",6406,Cook County,IL,14000US17031640600,17031640600
2017,Total,118500," $118,500 "," $25,678 ","Census Tract 801, Cook County, IL",801,Cook County,IL,14000US17031080100,17031080100
2017,Total,80125," $80,125 "," $10,311 ","Census Tract 6405, Cook County, IL",6405,Cook County,IL,14000US17031640500,17031640500
2017,Total,79869," $79,869 "," $8,134 ","Census Tract 802.01, Cook County, IL",802.01,Cook County,IL,14000US17031080201,17031080201
2017,Total,81794," $81,794 "," $8,072 ","Census Tract 802.02, Cook County, IL",802.02,Cook County,IL,14000US17031080202,17031080202
2017,Total,34219," $34,219 "," $6,654 ","Census Tract 8407, Cook County, IL",8407,Cook County,IL,14000US17031840700,17031840700
2017,Total,78730," $78,730 "," $8,168 ","Census Tract 6404, Cook County, IL",6404,Cook County,IL,14000US17031640400,17031640400
2017,Total,117687," $117,687 "," $9,052 ","Census Tract 803, Cook County, IL",803,Cook County,IL,14000US17031080300,17031080300
2017,Total,30625," $30,625 "," $6,119 ","Census Tract 804, Cook County, IL",804,Cook County,IL,14000US17031080400,17031080400
2017,Total,69600," $69,600 "," $3,535 ","Census Tract 6403, Cook County, IL",6403,Cook County,IL,14000US17031640300,17031640300
2017,Total,51905," $51,905 "," $9,488 ","Census Tract 810, Cook County, IL",810,Cook County,IL,14000US17031081000,17031081000
2017,Total,72303," $72,303 "," $12,271 ","Census Tract 811, Cook County, IL",811,Cook County,IL,14000US17031081100,17031081100
2017,Total,40750," $40,750 "," $15,414 ","Census Tract 8404, Cook County, IL",8404,Cook County,IL,14000US17031840400,17031840400
2017,Total,63295," $63,295 "," $19,053 ","Census Tract 7202, Cook County, IL",7202,Cook County,IL,14000US17031720200,17031720200
2017,Total,88088," $88,088 "," $13,170 ","Census Tract 812.01, Cook County, IL",812.01,Cook County,IL,14000US17031081201,17031081201
2017,Total,57045," $57,045 "," $19,546 ","Census Tract 6401, Cook County, IL",6401,Cook County,IL,14000US17031640100,17031640100
2017,Total,113798," $113,798 "," $24,080 ","Census Tract 812.02, Cook County, IL",812.02,Cook County,IL,14000US17031081202,17031081202
2017,Total,45880," $45,880 "," $4,302 ","Census Tract 6309, Cook County, IL",6309,Cook County,IL,14000US17031630900,17031630900
2017,Total,85938," $85,938 "," $12,758 ","Census Tract 813, Cook County, IL",813,Cook County,IL,14000US17031081300,17031081300
2017,Total,62321," $62,321 "," $15,809 ","Census Tract 814.01, Cook County, IL",814.01,Cook County,IL,14000US17031081401,17031081401
2017,Total,48056," $48,056 "," $11,996 ","Census Tract 8403, Cook County, IL",8403,Cook County,IL,14000US17031840300,17031840300
2017,Total,42855," $42,855 "," $6,422 ","Census Tract 6308, Cook County, IL",6308,Cook County,IL,14000US17031630800,17031630800
2017,Total,109801," $109,801 "," $38,875 ","Census Tract 814.02, Cook County, IL",814.02,Cook County,IL,14000US17031081402,17031081402
2017,Total,102856," $102,856 "," $14,909 ","Census Tract 814.03, Cook County, IL",814.03,Cook County,IL,14000US17031081403,17031081403
2017,Total,44063," $44,063 "," $6,964 ","Census Tract 6305, Cook County, IL",6305,Cook County,IL,14000US17031630500,17031630500
2017,Total,103750," $103,750 "," $14,485 ","Census Tract 815, Cook County, IL",815,Cook County,IL,14000US17031081500,17031081500
2017,Total,103060," $103,060 "," $26,619 ","Census Tract 816, Cook County, IL",816,Cook County,IL,14000US17031081600,17031081600
2017,Total,55600," $55,600 "," $11,751 ","Census Tract 8402, Cook County, IL",8402,Cook County,IL,14000US17031840200,17031840200
2017,Total,125625," $125,625 "," $22,751 ","Census Tract 7203, Cook County, IL",7203,Cook County,IL,14000US17031720300,17031720300
2017,Total,95545," $95,545 "," $8,863 ","Census Tract 817, Cook County, IL",817,Cook County,IL,14000US17031081700,17031081700
2017,Total,34486," $34,486 "," $4,069 ","Census Tract 6304, Cook County, IL",6304,Cook County,IL,14000US17031630400,17031630400
2017,Total,116705," $116,705 "," $13,418 ","Census Tract 818, Cook County, IL",818,Cook County,IL,14000US17031081800,17031081800
2017,Total,50051," $50,051 "," $3,570 ","Census Tract 6303, Cook County, IL",6303,Cook County,IL,14000US17031630300,17031630300
2017,Total,139063," $139,063 "," $26,992 ","Census Tract 819, Cook County, IL",819,Cook County,IL,14000US17031081900,17031081900
2017,Total,94375," $94,375 "," $14,698 ","Census Tract 901, Cook County, IL",901,Cook County,IL,14000US17031090100,17031090100
2017,Total,38886," $38,886 "," $3,514 ","Census Tract 8401, Cook County, IL",8401,Cook County,IL,14000US17031840100,17031840100
2017,Total,35625," $35,625 "," $7,271 ","Census Tract 6302, Cook County, IL",6302,Cook County,IL,14000US17031630200,17031630200
2017,Total,100808," $100,808 "," $13,594 ","Census Tract 902, Cook County, IL",902,Cook County,IL,14000US17031090200,17031090200
2017,Total,89205," $89,205 "," $14,488 ","Census Tract 903, Cook County, IL",903,Cook County,IL,14000US17031090300,17031090300
2017,Total,31016," $31,016 "," $6,894 ","Census Tract 6301, Cook County, IL",6301,Cook County,IL,14000US17031630100,17031630100
2017,Total,66265," $66,265 "," $11,318 ","Census Tract 1001, Cook County, IL",1001,Cook County,IL,14000US17031100100,17031100100
2017,Total,70549," $70,549 "," $17,440 ","Census Tract 1002, Cook County, IL",1002,Cook County,IL,14000US17031100200,17031100200
2017,Total,71989," $71,989 "," $14,775 ","Census Tract 8400, Cook County, IL",8400,Cook County,IL,14000US17031840000,17031840000
2017,Total,95481," $95,481 "," $8,466 ","Census Tract 7204, Cook County, IL",7204,Cook County,IL,14000US17031720400,17031720400
2017,Total,73558," $73,558 "," $11,651 ","Census Tract 1003, Cook County, IL",1003,Cook County,IL,14000US17031100300,17031100300
2017,Total,52000," $52,000 "," $14,982 ","Census Tract 6204, Cook County, IL",6204,Cook County,IL,14000US17031620400,17031620400
2017,Total,83594," $83,594 "," $15,172 ","Census Tract 1004, Cook County, IL",1004,Cook County,IL,14000US17031100400,17031100400
2017,Total,54299," $54,299 "," $5,471 ","Census Tract 6203, Cook County, IL",6203,Cook County,IL,14000US17031620300,17031620300
2017,Total,82865," $82,865 "," $23,378 ","Census Tract 1005, Cook County, IL",1005,Cook County,IL,14000US17031100500,17031100500
2017,Total,64151," $64,151 "," $8,738 ","Census Tract 1006, Cook County, IL",1006,Cook County,IL,14000US17031100600,17031100600
2017,Total,50265," $50,265 "," $13,626 ","Census Tract 8399, Cook County, IL",8399,Cook County,IL,14000US17031839900,17031839900
2017,Total,53214," $53,214 "," $4,928 ","Census Tract 6202, Cook County, IL",6202,Cook County,IL,14000US17031620200,17031620200
2017,Total,77324," $77,324 "," $11,208 ","Census Tract 1007, Cook County, IL",1007,Cook County,IL,14000US17031100700,17031100700
2017,Total,74440," $74,440 "," $19,219 ","Census Tract 1101, Cook County, IL",1101,Cook County,IL,14000US17031110100,17031110100
2017,Total,51296," $51,296 "," $12,208 ","Census Tract 6201, Cook County, IL",6201,Cook County,IL,14000US17031620100,17031620100
2017,Total,80240," $80,240 "," $4,899 ","Census Tract 1102, Cook County, IL",1102,Cook County,IL,14000US17031110200,17031110200
2017,Total,74537," $74,537 "," $8,951 ","Census Tract 1103, Cook County, IL",1103,Cook County,IL,14000US17031110300,17031110300
2017,Total,49583," $49,583 "," $11,474 ","Census Tract 8398, Cook County, IL",8398,Cook County,IL,14000US17031839800,17031839800
2017,Total,115417," $115,417 "," $17,433 ","Census Tract 7205, Cook County, IL",7205,Cook County,IL,14000US17031720500,17031720500
2017,Total,70344," $70,344 "," $6,702 ","Census Tract 1104, Cook County, IL",1104,Cook County,IL,14000US17031110400,17031110400
2017,Total,23438," $23,438 "," $2,683 ","Census Tract 6121, Cook County, IL",6121,Cook County,IL,14000US17031612100,17031612100
2017,Total,80098," $80,098 "," $6,138 ","Census Tract 1105.01, Cook County, IL",1105.01,Cook County,IL,14000US17031110501,17031110501
2017,Total,27212," $27,212 "," $6,310 ","Census Tract 6120, Cook County, IL",6120,Cook County,IL,14000US17031612000,17031612000
2017,Total,55194," $55,194 "," $6,619 ","Census Tract 1105.02, Cook County, IL",1105.02,Cook County,IL,14000US17031110502,17031110502
2017,Total,124338," $124,338 "," $23,748 ","Census Tract 1201, Cook County, IL",1201,Cook County,IL,14000US17031120100,17031120100
2017,Total,48800," $48,800 "," $7,736 ","Census Tract 8397, Cook County, IL",8397,Cook County,IL,14000US17031839700,17031839700
2017,Total,25231," $25,231 "," $5,215 ","Census Tract 6119, Cook County, IL",6119,Cook County,IL,14000US17031611900,17031611900
2017,Total,108954," $108,954 "," $10,148 ","Census Tract 1202, Cook County, IL",1202,Cook County,IL,14000US17031120200,17031120200
2017,Total,121793," $121,793 "," $12,037 ","Census Tract 1203, Cook County, IL",1203,Cook County,IL,14000US17031120300,17031120300
2017,Total,31138," $31,138 "," $6,215 ","Census Tract 6118, Cook County, IL",6118,Cook County,IL,14000US17031611800,17031611800
2017,Total,82167," $82,167 "," $12,948 ","Census Tract 1204, Cook County, IL",1204,Cook County,IL,14000US17031120400,17031120400
2017,Total,40503," $40,503 "," $8,905 ","Census Tract 1301, Cook County, IL",1301,Cook County,IL,14000US17031130100,17031130100
2017,Total,35461," $35,461 "," $9,430 ","Census Tract 8396, Cook County, IL",8396,Cook County,IL,14000US17031839600,17031839600
2017,Total,109390," $109,390 "," $10,357 ","Census Tract 7206, Cook County, IL",7206,Cook County,IL,14000US17031720600,17031720600
2017,Total,77800," $77,800 "," $7,184 ","Census Tract 1302, Cook County, IL",1302,Cook County,IL,14000US17031130200,17031130200
2017,Total,25074," $25,074 "," $6,695 ","Census Tract 6117, Cook County, IL",6117,Cook County,IL,14000US17031611700,17031611700
2017,Total,58214," $58,214 "," $9,841 ","Census Tract 1303, Cook County, IL",1303,Cook County,IL,14000US17031130300,17031130300
2017,Total,36014," $36,014 "," $5,699 ","Census Tract 6116, Cook County, IL",6116,Cook County,IL,14000US17031611600,17031611600
2017,Total,39961," $39,961 "," $7,293 ","Census Tract 1401, Cook County, IL",1401,Cook County,IL,14000US17031140100,17031140100
2017,Total,42694," $42,694 "," $7,640 ","Census Tract 1402, Cook County, IL",1402,Cook County,IL,14000US17031140200,17031140200
2017,Total,21719," $21,719 "," $9,037 ","Census Tract 8395, Cook County, IL",8395,Cook County,IL,14000US17031839500,17031839500
2017,Total,28333," $28,333 "," $6,269 ","Census Tract 6115, Cook County, IL",6115,Cook County,IL,14000US17031611500,17031611500
2017,Total,40192," $40,192 "," $9,076 ","Census Tract 1403.01, Cook County, IL",1403.01,Cook County,IL,14000US17031140301,17031140301
2017,Total,72577," $72,577 "," $11,639 ","Census Tract 1403.02, Cook County, IL",1403.02,Cook County,IL,14000US17031140302,17031140302
2017,Total,35016," $35,016 "," $7,104 ","Census Tract 6114, Cook County, IL",6114,Cook County,IL,14000US17031611400,17031611400
2017,Total,73906," $73,906 "," $11,083 ","Census Tract 1404, Cook County, IL",1404,Cook County,IL,14000US17031140400,17031140400
2017,Total,56278," $56,278 "," $7,635 ","Census Tract 1405, Cook County, IL",1405,Cook County,IL,14000US17031140500,17031140500
2017,Total,29476," $29,476 "," $5,453 ","Census Tract 8392, Cook County, IL",8392,Cook County,IL,14000US17031839200,17031839200
2017,Total,61438," $61,438 "," $5,269 ","Census Tract 7207, Cook County, IL",7207,Cook County,IL,14000US17031720700,17031720700
2017,Total,45769," $45,769 "," $9,014 ","Census Tract 1406.01, Cook County, IL",1406.01,Cook County,IL,14000US17031140601,17031140601
2017,Total,26786," $26,786 "," $4,191 ","Census Tract 6113, Cook County, IL",6113,Cook County,IL,14000US17031611300,17031611300
2017,Total,60508," $60,508 "," $17,320 ","Census Tract 1406.02, Cook County, IL",1406.02,Cook County,IL,14000US17031140602,17031140602
2017,Total,27697," $27,697 "," $3,841 ","Census Tract 6112, Cook County, IL",6112,Cook County,IL,14000US17031611200,17031611200
2017,Total,60100," $60,100 "," $9,379 ","Census Tract 1407.01, Cook County, IL",1407.01,Cook County,IL,14000US17031140701,17031140701
2017,Total,51324," $51,324 "," $2,786 ","Census Tract 1407.02, Cook County, IL",1407.02,Cook County,IL,14000US17031140702,17031140702
2017,Total,90489," $90,489 "," $13,773 ","Census Tract 8391, Cook County, IL",8391,Cook County,IL,14000US17031839100,17031839100
2017,Total,24972," $24,972 "," $3,087 ","Census Tract 6111, Cook County, IL",6111,Cook County,IL,14000US17031611100,17031611100
2017,Total,69545," $69,545 "," $16,171 ","Census Tract 1408, Cook County, IL",1408,Cook County,IL,14000US17031140800,17031140800
2017,Total,64545," $64,545 "," $10,851 ","Census Tract 1502, Cook County, IL",1502,Cook County,IL,14000US17031150200,17031150200
2017,Total,20813," $20,813 "," $2,419 ","Census Tract 6110, Cook County, IL",6110,Cook County,IL,14000US17031611000,17031611000
2017,Total,74106," $74,106 "," $3,275 ","Census Tract 1503, Cook County, IL",1503,Cook County,IL,14000US17031150300,17031150300
2017,Total,70203," $70,203 "," $7,914 ","Census Tract 1504.01, Cook County, IL",1504.01,Cook County,IL,14000US17031150401,17031150401
2017,Total,84347," $84,347 "," $13,116 ","Census Tract 8390, Cook County, IL",8390,Cook County,IL,14000US17031839000,17031839000
2017,Total,50385," $50,385 "," $15,460 ","Census Tract 7301, Cook County, IL",7301,Cook County,IL,14000US17031730100,17031730100
2017,Total,64545," $64,545 "," $9,670 ","Census Tract 1504.02, Cook County, IL",1504.02,Cook County,IL,14000US17031150402,17031150402
2017,Total,44353," $44,353 "," $11,724 ","Census Tract 6108, Cook County, IL",6108,Cook County,IL,14000US17031610800,17031610800
2017,Total,65893," $65,893 "," $6,048 ","Census Tract 1505.01, Cook County, IL",1505.01,Cook County,IL,14000US17031150501,17031150501
2017,Total,26580," $26,580 "," $7,161 ","Census Tract 6104, Cook County, IL",6104,Cook County,IL,14000US17031610400,17031610400
2017,Total,57857," $57,857 "," $4,704 ","Census Tract 1505.02, Cook County, IL",1505.02,Cook County,IL,14000US17031150502,17031150502
2017,Total,65543," $65,543 "," $10,996 ","Census Tract 1506, Cook County, IL",1506,Cook County,IL,14000US17031150600,17031150600
2017,Total,19155," $19,155 "," $5,558 ","Census Tract 8388, Cook County, IL",8388,Cook County,IL,14000US17031838800,17031838800
2017,Total,35325," $35,325 "," $7,140 ","Census Tract 6103, Cook County, IL",6103,Cook County,IL,14000US17031610300,17031610300
2017,Total,69265," $69,265 "," $9,898 ","Census Tract 1507, Cook County, IL",1507,Cook County,IL,14000US17031150700,17031150700
2017,Total,54414," $54,414 "," $9,145 ","Census Tract 1508, Cook County, IL",1508,Cook County,IL,14000US17031150800,17031150800
2017,Total,51607," $51,607 "," $8,994 ","Census Tract 6009, Cook County, IL",6009,Cook County,IL,14000US17031600900,17031600900
2017,Total,49674," $49,674 "," $9,314 ","Census Tract 1510.01, Cook County, IL",1510.01,Cook County,IL,14000US17031151001,17031151001
2017,Total,48225," $48,225 "," $7,652 ","Census Tract 1510.02, Cook County, IL",1510.02,Cook County,IL,14000US17031151002,17031151002
2017,Total,22742," $22,742 "," $4,568 ","Census Tract 8387, Cook County, IL",8387,Cook County,IL,14000US17031838700,17031838700
2017,Total,26706," $26,706 "," $6,523 ","Census Tract 7302.01, Cook County, IL",7302.01,Cook County,IL,14000US17031730201,17031730201
2017,Total,58269," $58,269 "," $3,401 ","Census Tract 1511, Cook County, IL",1511,Cook County,IL,14000US17031151100,17031151100
2017,Total,32301," $32,301 "," $4,624 ","Census Tract 6007, Cook County, IL",6007,Cook County,IL,14000US17031600700,17031600700
2017,Total,54671," $54,671 "," $15,861 ","Census Tract 1512, Cook County, IL",1512,Cook County,IL,14000US17031151200,17031151200
2017,Total,34069," $34,069 "," $4,472 ","Census Tract 6006, Cook County, IL",6006,Cook County,IL,14000US17031600600,17031600600
2017,Total,65161," $65,161 "," $11,683 ","Census Tract 1601, Cook County, IL",1601,Cook County,IL,14000US17031160100,17031160100
2017,Total,74219," $74,219 "," $26,953 ","Census Tract 1602, Cook County, IL",1602,Cook County,IL,14000US17031160200,17031160200
2017,Total,14850," $14,850 "," $4,662 ","Census Tract 8386, Cook County, IL",8386,Cook County,IL,14000US17031838600,17031838600
2017,Total,32500," $32,500 "," $8,074 ","Census Tract 6004, Cook County, IL",6004,Cook County,IL,14000US17031600400,17031600400
2017,Total,51511," $51,511 "," $6,007 ","Census Tract 1603, Cook County, IL",1603,Cook County,IL,14000US17031160300,17031160300
2017,Total,49216," $49,216 "," $5,390 ","Census Tract 1604, Cook County, IL",1604,Cook County,IL,14000US17031160400,17031160400
2017,Total,42792," $42,792 "," $6,004 ","Census Tract 5907, Cook County, IL",5907,Cook County,IL,14000US17031590700,17031590700
2017,Total,56477," $56,477 "," $6,779 ","Census Tract 1605.01, Cook County, IL",1605.01,Cook County,IL,14000US17031160501,17031160501
2017,Total,58776," $58,776 "," $6,263 ","Census Tract 1605.02, Cook County, IL",1605.02,Cook County,IL,14000US17031160502,17031160502
2017,Total,44875," $44,875 "," $12,963 ","Census Tract 8383, Cook County, IL",8383,Cook County,IL,14000US17031838300,17031838300
2017,Total,48564," $48,564 "," $12,180 ","Census Tract 7302.02, Cook County, IL",7302.02,Cook County,IL,14000US17031730202,17031730202
2017,Total,67113," $67,113 "," $11,824 ","Census Tract 1606.01, Cook County, IL",1606.01,Cook County,IL,14000US17031160601,17031160601
2017,Total,39005," $39,005 "," $4,556 ","Census Tract 5906, Cook County, IL",5906,Cook County,IL,14000US17031590600,17031590600
2017,Total,59821," $59,821 "," $10,643 ","Census Tract 1606.02, Cook County, IL",1606.02,Cook County,IL,14000US17031160602,17031160602
2017,Total,55667," $55,667 "," $10,477 ","Census Tract 5905, Cook County, IL",5905,Cook County,IL,14000US17031590500,17031590500
2017,Total,65281," $65,281 "," $20,287 ","Census Tract 1607, Cook County, IL",1607,Cook County,IL,14000US17031160700,17031160700
2017,Total,57261," $57,261 "," $8,497 ","Census Tract 1608, Cook County, IL",1608,Cook County,IL,14000US17031160800,17031160800
2017,Total,36389," $36,389 "," $18,532 ","Census Tract 8382, Cook County, IL",8382,Cook County,IL,14000US17031838200,17031838200
2017,Total,40238," $40,238 "," $15,645 ","Census Tract 5808, Cook County, IL",5808,Cook County,IL,14000US17031580800,17031580800
2017,Total,80551," $80,551 "," $16,018 ","Census Tract 1609, Cook County, IL",1609,Cook County,IL,14000US17031160900,17031160900
2017,Total,73342," $73,342 "," $4,931 ","Census Tract 1610, Cook County, IL",1610,Cook County,IL,14000US17031161000,17031161000
2017,Total,43553," $43,553 "," $4,022 ","Census Tract 5807, Cook County, IL",5807,Cook County,IL,14000US17031580700,17031580700
2017,Total,101848," $101,848 "," $8,900 ","Census Tract 1611, Cook County, IL",1611,Cook County,IL,14000US17031161100,17031161100
2017,Total,61466," $61,466 "," $5,806 ","Census Tract 1612, Cook County, IL",1612,Cook County,IL,14000US17031161200,17031161200
2017,Total,17047," $17,047 "," $6,565 ","Census Tract 8381, Cook County, IL",8381,Cook County,IL,14000US17031838100,17031838100
2017,Total,43897," $43,897 "," $14,329 ","Census Tract 7303, Cook County, IL",7303,Cook County,IL,14000US17031730300,17031730300
2017,Total,45616," $45,616 "," $5,037 ","Census Tract 1613, Cook County, IL",1613,Cook County,IL,14000US17031161300,17031161300
2017,Total,42360," $42,360 "," $9,119 ","Census Tract 5806, Cook County, IL",5806,Cook County,IL,14000US17031580600,17031580600
2017,Total,39643," $39,643 "," $13,316 ","Census Tract 1701, Cook County, IL",1701,Cook County,IL,14000US17031170100,17031170100
2017,Total,40191," $40,191 "," $7,406 ","Census Tract 5805.02, Cook County, IL",5805.02,Cook County,IL,14000US17031580502,17031580502
2017,Total,71660," $71,660 "," $9,548 ","Census Tract 1702, Cook County, IL",1702,Cook County,IL,14000US17031170200,17031170200
2017,Total,59554," $59,554 "," $22,923 ","Census Tract 1703, Cook County, IL",1703,Cook County,IL,14000US17031170300,17031170300
2017,Total,18147," $18,147 "," $8,730 ","Census Tract 8380, Cook County, IL",8380,Cook County,IL,14000US17031838000,17031838000
2017,Total,39087," $39,087 "," $5,289 ","Census Tract 5805.01, Cook County, IL",5805.01,Cook County,IL,14000US17031580501,17031580501
2017,Total,56645," $56,645 "," $7,486 ","Census Tract 1704, Cook County, IL",1704,Cook County,IL,14000US17031170400,17031170400
2017,Total,78650," $78,650 "," $11,811 ","Census Tract 1705, Cook County, IL",1705,Cook County,IL,14000US17031170500,17031170500
2017,Total,37462," $37,462 "," $11,033 ","Census Tract 5804, Cook County, IL",5804,Cook County,IL,14000US17031580400,17031580400
2017,Total,71875," $71,875 "," $8,836 ","Census Tract 1706, Cook County, IL",1706,Cook County,IL,14000US17031170600,17031170600
2017,Total,74414," $74,414 "," $8,659 ","Census Tract 1707, Cook County, IL",1707,Cook County,IL,14000US17031170700,17031170700
2017,Total,60893," $60,893 "," $12,676 ","Census Tract 8378, Cook County, IL",8378,Cook County,IL,14000US17031837800,17031837800
2017,Total,60481," $60,481 "," $13,361 ","Census Tract 7304, Cook County, IL",7304,Cook County,IL,14000US17031730400,17031730400
2017,Total,33750," $33,750 "," $10,701 ","Census Tract 101, Cook County, IL",101,Cook County,IL,14000US17031010100,17031010100
2017,Total,45853," $45,853 "," $6,253 ","Census Tract 5803, Cook County, IL",5803,Cook County,IL,14000US17031580300,17031580300
2017,Total,49508," $49,508 "," $13,310 ","Census Tract 1709, Cook County, IL",1709,Cook County,IL,14000US17031170900,17031170900
2017,Total,45179," $45,179 "," $7,797 ","Census Tract 5802, Cook County, IL",5802,Cook County,IL,14000US17031580200,17031580200
2017,Total,67308," $67,308 "," $15,255 ","Census Tract 1710, Cook County, IL",1710,Cook County,IL,14000US17031171000,17031171000
2017,Total,65952," $65,952 "," $10,513 ","Census Tract 1711, Cook County, IL",1711,Cook County,IL,14000US17031171100,17031171100
2017,Total,39609," $39,609 "," $10,613 ","Census Tract 8374, Cook County, IL",8374,Cook County,IL,14000US17031837400,17031837400
2017,Total,39688," $39,688 "," $4,877 ","Census Tract 5801, Cook County, IL",5801,Cook County,IL,14000US17031580100,17031580100
2017,Total,59286," $59,286 "," $16,842 ","Census Tract 1801, Cook County, IL",1801,Cook County,IL,14000US17031180100,17031180100
2017,Total,35565," $35,565 "," $5,673 ","Census Tract 1901, Cook County, IL",1901,Cook County,IL,14000US17031190100,17031190100
2017,Total,41875," $41,875 "," $7,520 ","Census Tract 5705, Cook County, IL",5705,Cook County,IL,14000US17031570500,17031570500
2017,Total,55842," $55,842 "," $5,410 ","Census Tract 1902, Cook County, IL",1902,Cook County,IL,14000US17031190200,17031190200
2017,Total,46010," $46,010 "," $12,462 ","Census Tract 1903, Cook County, IL",1903,Cook County,IL,14000US17031190300,17031190300
2017,Total,28750," $28,750 "," $13,396 ","Census Tract 8373, Cook County, IL",8373,Cook County,IL,14000US17031837300,17031837300
2017,Total,57820," $57,820 "," $6,676 ","Census Tract 7305, Cook County, IL",7305,Cook County,IL,14000US17031730500,17031730500
2017,Total,56016," $56,016 "," $9,742 ","Census Tract 1904.01, Cook County, IL",1904.01,Cook County,IL,14000US17031190401,17031190401
2017,Total,42986," $42,986 "," $5,030 ","Census Tract 5704, Cook County, IL",5704,Cook County,IL,14000US17031570400,17031570400
2017,Total,46993," $46,993 "," $5,817 ","Census Tract 1904.02, Cook County, IL",1904.02,Cook County,IL,14000US17031190402,17031190402
2017,Total,47500," $47,500 "," $9,435 ","Census Tract 5703, Cook County, IL",5703,Cook County,IL,14000US17031570300,17031570300
2017,Total,50781," $50,781 "," $13,052 ","Census Tract 1906.01, Cook County, IL",1906.01,Cook County,IL,14000US17031190601,17031190601
2017,Total,51986," $51,986 "," $10,726 ","Census Tract 1906.02, Cook County, IL",1906.02,Cook County,IL,14000US17031190602,17031190602
2017,Total,22266," $22,266 "," $7,406 ","Census Tract 8371, Cook County, IL",8371,Cook County,IL,14000US17031837100,17031837100
2017,Total,49107," $49,107 "," $18,562 ","Census Tract 5702, Cook County, IL",5702,Cook County,IL,14000US17031570200,17031570200
2017,Total,44797," $44,797 "," $6,681 ","Census Tract 1907.01, Cook County, IL",1907.01,Cook County,IL,14000US17031190701,17031190701
2017,Total,40761," $40,761 "," $3,891 ","Census Tract 1907.02, Cook County, IL",1907.02,Cook County,IL,14000US17031190702,17031190702
2017,Total,54792," $54,792 "," $7,877 ","Census Tract 5701, Cook County, IL",5701,Cook County,IL,14000US17031570100,17031570100
2017,Total,42279," $42,279 "," $13,073 ","Census Tract 1908, Cook County, IL",1908,Cook County,IL,14000US17031190800,17031190800
2017,Total,39706," $39,706 "," $24,415 ","Census Tract 1909, Cook County, IL",1909,Cook County,IL,14000US17031190900,17031190900
2017,Total,29911," $29,911 "," $12,751 ","Census Tract 8370, Cook County, IL",8370,Cook County,IL,14000US17031837000,17031837000
2017,Total,41307," $41,307 "," $11,355 ","Census Tract 7306, Cook County, IL",7306,Cook County,IL,14000US17031730600,17031730600
2017,Total,48125," $48,125 "," $10,350 ","Census Tract 1910, Cook County, IL",1910,Cook County,IL,14000US17031191000,17031191000
