Year,Race,Household_Income_by_Race1,Household_Income_by_Race2,Household_Income_by_RaceMoe,Geography,Census_Tract_No,County,State,ID_Geography,Geoid10
2017,Total,43167," $43,167 "," $12,614 ","Census Tract 301.01, Cook County, IL",301.01,Cook County,IL,14000US17031030101,17031030101
2017,Total,43750," $43,750 "," $3,982 ","Census Tract 301.02, Cook County, IL",301.02,Cook County,IL,14000US17031030102,17031030102
2017,Total,49297," $49,297 "," $17,574 ","Census Tract 6910, Cook County, IL",6910,Cook County,IL,14000US17031691000,17031691000
2017,Total,49233," $49,233 "," $9,637 ","Census Tract 301.03, Cook County, IL",301.03,Cook County,IL,14000US17031030103,17031030103
2017,Total,26607," $26,607 "," $6,969 ","Census Tract 8434, Cook County, IL",8434,Cook County,IL,14000US17031843400,17031843400
2017,Total,38871," $38,871 "," $4,682 ","Census Tract 301.04, Cook County, IL",301.04,Cook County,IL,14000US17031030104,17031030104
2017,Total,35581," $35,581 "," $5,119 ","Census Tract 7104, Cook County, IL",7104,Cook County,IL,14000US17031710400,17031710400
2017,Total,64089," $64,089 "," $12,931 ","Census Tract 302, Cook County, IL",302,Cook County,IL,14000US17031030200,17031030200
2017,Total,30071," $30,071 "," $10,159 ","Census Tract 6909, Cook County, IL",6909,Cook County,IL,14000US17031690900,17031690900
2017,Total,37868," $37,868 "," $4,931 ","Census Tract 303, Cook County, IL",303,Cook County,IL,14000US17031030300,17031030300
2017,Total,31923," $31,923 "," $13,206 ","Census Tract 6905, Cook County, IL",6905,Cook County,IL,14000US17031690500,17031690500
2017,Total,45850," $45,850 "," $8,259 ","Census Tract 304, Cook County, IL",304,Cook County,IL,14000US17031030400,17031030400
2017,Total,47829," $47,829 "," $17,047 ","Census Tract 8433, Cook County, IL",8433,Cook County,IL,14000US17031843300,17031843300
2017,Total,79587," $79,587 "," $10,178 ","Census Tract 305, Cook County, IL",305,Cook County,IL,14000US17031030500,17031030500
2017,Total,22078," $22,078 "," $6,742 ","Census Tract 6904, Cook County, IL",6904,Cook County,IL,14000US17031690400,17031690400
2017,Total,39015," $39,015 "," $4,059 ","Census Tract 306.01, Cook County, IL",306.01,Cook County,IL,14000US17031030601,17031030601
2017,Total,29088," $29,088 "," $5,437 ","Census Tract 306.03, Cook County, IL",306.03,Cook County,IL,14000US17031030603,17031030603
2017,Total,19904," $19,904 "," $11,962 ","Census Tract 6903, Cook County, IL",6903,Cook County,IL,14000US17031690300,17031690300
2017,Total,30486," $30,486 "," $8,314 ","Census Tract 306.04, Cook County, IL",306.04,Cook County,IL,14000US17031030604,17031030604
2017,Total,46387," $46,387 "," $2,259 ","Census Tract 8432, Cook County, IL",8432,Cook County,IL,14000US17031843200,17031843200
2017,Total,36467," $36,467 "," $6,437 ","Census Tract 307.01, Cook County, IL",307.01,Cook County,IL,14000US17031030701,17031030701
2017,Total,30793," $30,793 "," $7,453 ","Census Tract 7105, Cook County, IL",7105,Cook County,IL,14000US17031710500,17031710500
2017,Total,73967," $73,967 "," $16,855 ","Census Tract 307.02, Cook County, IL",307.02,Cook County,IL,14000US17031030702,17031030702
2017,Total,30357," $30,357 "," $10,094 ","Census Tract 6814, Cook County, IL",6814,Cook County,IL,14000US17031681400,17031681400
2017,Total,40670," $40,670 "," $8,898 ","Census Tract 307.03, Cook County, IL",307.03,Cook County,IL,14000US17031030703,17031030703
2017,Total,25735," $25,735 "," $7,382 ","Census Tract 6813, Cook County, IL",6813,Cook County,IL,14000US17031681300,17031681300
2017,Total,41331," $41,331 "," $9,425 ","Census Tract 307.06, Cook County, IL",307.06,Cook County,IL,14000US17031030706,17031030706
2017,Total,27292," $27,292 "," $12,270 ","Census Tract 8431, Cook County, IL",8431,Cook County,IL,14000US17031843100,17031843100
2017,Total,72296," $72,296 "," $15,744 ","Census Tract 308, Cook County, IL",308,Cook County,IL,14000US17031030800,17031030800
2017,Total,23302," $23,302 "," $4,296 ","Census Tract 6812, Cook County, IL",6812,Cook County,IL,14000US17031681200,17031681200
2017,Total,88000," $88,000 "," $17,550 ","Census Tract 309, Cook County, IL",309,Cook County,IL,14000US17031030900,17031030900
2017,Total,72964," $72,964 "," $12,648 ","Census Tract 310, Cook County, IL",310,Cook County,IL,14000US17031031000,17031031000
2017,Total,15806," $15,806 "," $6,674 ","Census Tract 6811, Cook County, IL",6811,Cook County,IL,14000US17031681100,17031681100
2017,Total,65462," $65,462 "," $16,675 ","Census Tract 311, Cook County, IL",311,Cook County,IL,14000US17031031100,17031031100
2017,Total,18036," $18,036 "," $5,594 ","Census Tract 8430, Cook County, IL",8430,Cook County,IL,14000US17031843000,17031843000
2017,Total,35295," $35,295 "," $10,711 ","Census Tract 312, Cook County, IL",312,Cook County,IL,14000US17031031200,17031031200
2017,Total,26696," $26,696 "," $9,975 ","Census Tract 7106, Cook County, IL",7106,Cook County,IL,14000US17031710600,17031710600
2017,Total,42690," $42,690 "," $7,131 ","Census Tract 313, Cook County, IL",313,Cook County,IL,14000US17031031300,17031031300
2017,Total,15201," $15,201 "," $2,510 ","Census Tract 6810, Cook County, IL",6810,Cook County,IL,14000US17031681000,17031681000
2017,Total,68899," $68,899 "," $12,860 ","Census Tract 314, Cook County, IL",314,Cook County,IL,14000US17031031400,17031031400
2017,Total,15612," $15,612 "," $4,502 ","Census Tract 6809, Cook County, IL",6809,Cook County,IL,14000US17031680900,17031680900
2017,Total,26915," $26,915 "," $4,286 ","Census Tract 315.01, Cook County, IL",315.01,Cook County,IL,14000US17031031501,17031031501
2017,Total,21325," $21,325 "," $3,702 ","Census Tract 8429, Cook County, IL",8429,Cook County,IL,14000US17031842900,17031842900
2017,Total,24304," $24,304 "," $4,796 ","Census Tract 315.02, Cook County, IL",315.02,Cook County,IL,14000US17031031502,17031031502
2017,Total,24464," $24,464 "," $5,899 ","Census Tract 6806, Cook County, IL",6806,Cook County,IL,14000US17031680600,17031680600
2017,Total,44555," $44,555 "," $12,220 ","Census Tract 317, Cook County, IL",317,Cook County,IL,14000US17031031700,17031031700
