,Longitude,Latitude,Crime_type,Year
0,-87.639428796,41.755473435,HOMICIDE,2014
1,-87.727575684,41.884656631,HOMICIDE,2014
2,-87.691952769,41.985637132,HOMICIDE,2014
3,-87.605892318,41.654285848,HOMICIDE,2014
4,-87.760363239,41.777183498,HOMICIDE,2014
5,-87.720666542,41.967383112,HOMICIDE,2014
6,-87.672883168,42.004694436,HOMICIDE,2014
7,-87.658338686,41.965387049,HOMICIDE,2014
8,-87.538376571,41.700934193,HOMICIDE,2014
9,-87.637240716,41.898411891,HOMICIDE,2014
10,-87.846467101,41.977609479,HOMICIDE,2014
11,-87.78053841,41.922561045,HOMICIDE,2014
12,-87.739889736,41.779714092,HOMICIDE,2014
13,-87.753115331,41.959055616,HOMICIDE,2014
14,-87.632267636,41.878562742,HOMICIDE,2014
15,-87.584690956,41.801307936,HOMICIDE,2014
16,-87.810533039,41.942435275,HOMICIDE,2014
17,-87.785228185,41.987226288,HOMICIDE,2014
18,-87.649507769,41.837206494,HOMICIDE,2014
19,-87.715294405,41.951391244,HOMICIDE,2014
20,-87.788590101,41.941040735,HOMICIDE,2014
21,-87.671471689,41.833177595,HOMICIDE,2014
22,-87.667277075,41.925162419,HOMICIDE,2014
23,-87.772154601,41.795592805,HOMICIDE,2014
24,-87.738510686,41.744843305,HOMICIDE,2014
25,-87.531649331,41.68592815,HOMICIDE,2014
26,-87.653436334,41.832158413,ARSON,2014
27,-87.680394757,41.931017098,ARSON,2014
28,-87.610398469,41.816187403,ARSON,2014
29,-87.631042884,41.677124277,ARSON,2014
30,-87.639235361,41.868541914,ARSON,2014
31,-87.681243671,41.827720251,ARSON,2014
32,-87.72493883,41.743572979,ARSON,2014
33,-87.562086143,41.707454354,ARSON,2014
34,-87.8069408,41.981433354,ARSON,2014
35,-87.765728436,41.786573674,ARSON,2014
36,-87.532869918,41.705594242,ARSON,2014
37,-87.756282872,41.974321151,ARSON,2014
38,-87.662736584,42.009174489,ARSON,2014
39,-87.632133928,41.894821547,ARSON,2014
40,-87.795885453,41.775403967,ARSON,2014
41,-87.790546423,41.799015491,ARSON,2014
42,-87.668883403,41.682656831,ARSON,2014
43,-87.547154481,41.652776653,ARSON,2014
44,-87.614817819,41.863196881,ARSON,2014
45,-87.665119726,41.989243623,ARSON,2014
46,-87.620223934,41.836559146,ARSON,2014
47,-87.803946336,41.927756412,ARSON,2014
48,-87.607553983,41.654252443,ARSON,2014
49,-87.651482912,41.855097093,ARSON,2014
50,-87.782782465,41.95388068,ARSON,2014
51,-87.606667153,41.702851783,ARSON,2014
52,-87.733473444,41.768714549,ARSON,2014
53,-87.845198263,41.974242434,ARSON,2014
54,-87.699017018,41.985415685,ARSON,2014
55,-87.684582616,41.845154276,NARCOTICS,2014
56,-87.907472601,41.953900467,NARCOTICS,2014
57,-87.905227221,41.976290414,NARCOTICS,2014
58,-87.574483491,41.645075822,NARCOTICS,2014
59,-91.686565684,36.619446395,NARCOTICS,2014
60,-87.666042338,41.853884573,THEFT,2014
61,-87.901782909,41.977139201,THEFT,2014
62,-87.904803501,42.007119966,THEFT,2014
63,-91.686565684,36.619446395,THEFT,2014
64,-87.670437551,41.832049226,BATTERY,2014
65,-87.900983721,41.976762981,BATTERY,2014
66,-87.884523648,41.957745519,BATTERY,2014
67,-87.907472601,41.953900467,BATTERY,2014
68,-87.575471613,41.680319688,BATTERY,2014
69,-87.668259636,41.830469658,ROBBERY,2014
70,-87.547153146,41.652886417,ROBBERY,2014
71,-87.836636212,41.950676809,ROBBERY,2014
72,-87.836582104,41.984622486,ROBBERY,2014
73,-87.814942902,41.999696749,ROBBERY,2014
74,-87.903638571,41.978466127,ROBBERY,2014
75,-87.667898146,41.828173356,ASSAULT,2014
76,-87.900983721,41.976762981,ASSAULT,2014
77,-87.890338968,42.002992668,ASSAULT,2014
78,-87.914585337,41.960789926,ASSAULT,2014
79,-91.686565684,36.619446395,ASSAULT,2014
80,-87.67563646,41.84428835,MOTOR VEHICLE THEFT,2014
81,-87.886920464,41.980435794,MOTOR VEHICLE THEFT,2014
82,-87.545911008,41.654527265,MOTOR VEHICLE THEFT,2014
83,-91.686565684,36.619446395,MOTOR VEHICLE THEFT,2014
